name,code,phase,section,subsection,unit,price
"Демонтаж НЕ приклеенного линолеума, ламината, паркетной доски, старого паркета",0-45,Этап №0,Демонтаж,Полы,м2,81.00
"Демонтаж старых дощатых полов с лагами, с наполнителем",0-46,Этап №0,Демонтаж,Полы,м2,266.00
"Демонтаж НЕ приклеенной фанеры, оргалита",0-47,Этап №0,Демонтаж,Полы,м2,69.00
Демонтаж керамической плитки и плиточного клея,0-48,Этап №0,Демонтаж,Полы,м2,252.00
"Демонтаж порожка (пластик, метал)",0-49,Этап №0,Демонтаж,Полы,м.пог.,53.00
Демонтаж теплого пола (водяного),0-50,Этап №0,Демонтаж,Полы,м2,315.00
Демонтаж цементной стяжки до 5 см.,0-51,Этап №0,Демонтаж,Полы,м2,230.00
Демонтаж цементной стяжки до 10 см.,0-52,Этап №0,Демонтаж,Полы,м2,280.00
Демонтаж армированного бетонного основания сантехкабины,0-53,Этап №0,Демонтаж,Полы,м2,1191.00
Демонтаж бетонного бортика поддона,0-54,Этап №0,Демонтаж,Полы,м.пог,424.00
"Демонтаж короба для труб водоснабжения, канализации",0-55,Этап №0,Демонтаж,Полы,м.пог,125.00
"Очистка стяжки от остатков клея, мастики методом шлифования алмазной чашкой",0-56,Этап №0,Демонтаж,Полы,м2,203.00
Демонтаж пластиковой душевой кабины,0-57,Этап №0,Демонтаж,Сантехника,шт.,1125.00
Демонтаж душевой кабины в строительном исполнении,0-58,Этап №0,Демонтаж,Сантехника,шт.,1603.00
Демонтаж душевого подиума (строительного исполнения),0-59,Этап №0,Демонтаж,Сантехника,шт.,2060.00
"Демонтаж пластиковой душевой кабины с джакузи, гидромассажем/парогенератором",0-60,Этап №0,Демонтаж,Сантехника,шт.,1852.00
Демонтаж поддона чугунного/металлического/акрилового,0-61,Этап №0,Демонтаж,Сантехника,шт.,635.00
Демонтаж (отключение) стиральной/сушильной машины,0-62,Этап №0,Демонтаж,Сантехника,шт.,300.00
Расчистка стояка отопления от старой краски,0-63,Этап №0,Демонтаж,Сантехника,шт.,376.00
"Демонтаж подиума для поддона (кирпич, бетон)",0-64,Этап №0,Демонтаж,Сантехника,шт.,1125.00
Демонтаж ванны чугунной (с выносом к входной двери),0-65,Этап №0,Демонтаж,Сантехника,шт.,1571.00
"Демонтаж ванны стальной, акриловой",0-66,Этап №0,Демонтаж,Сантехника,шт.,1132.00
"Демонтаж экрана ванны (кафель, кирпич/пеноблок)",0-67,Этап №0,Демонтаж,Сантехника,шт.,675.00
Демонтаж экрана под ванной (пластик),0-68,Этап №0,Демонтаж,Сантехника,шт.,203.00
Демонтаж обвязки ванны (старого образца чугун-метал),0-69,Этап №0,Демонтаж,Сантехника,шт.,424.00
Демонтаж обвязки ванны (нового образца),0-70,Этап №0,Демонтаж,Сантехника,шт.,238.00
Демонтаж штанги для душа,0-71,Этап №0,Демонтаж,Сантехника,шт.,159.00
"Демонтаж сантехнических аксессуаров (мыльница, держатель бумаги и т.д.)",0-72,Этап №0,Демонтаж,Сантехника,шт.,68.00
Демонтаж унитаза,0-73,Этап №0,Демонтаж,Сантехника,шт.,500.00
Демонтаж инсталляции (чаши с рамой и кнопкой),0-74,Этап №0,Демонтаж,Сантехника,шт.,1300.00
"Демонтаж труб водоснабжения, отопления",0-75,Этап №0,Демонтаж,Сантехника,м.пог,89.00
Демонтаж труб канализации (чугун),0-76,Этап №0,Демонтаж,Сантехника,м.пог,318.00
Демонтаж труб канализации (пластик),0-77,Этап №0,Демонтаж,Сантехника,м.пог,122.00
Демонтаж коллектора (гребенки),0-78,Этап №0,Демонтаж,Сантехника,шт.,355.00
Демонтаж бойлера,0-79,Этап №0,Демонтаж,Сантехника,шт.,590.00
Демонтаж смесителя на жёсткой подводке,0-80,Этап №0,Демонтаж,Сантехника,шт.,291.00
Демонтаж смесителя  на гибкой подводке,0-81,Этап №0,Демонтаж,Сантехника,шт.,220.00
Демонтаж кухонной мойки (без смесителя),0-82,Этап №0,Демонтаж,Сантехника,шт.,305.00
Демонтаж подстолья кухонной мойки,0-83,Этап №0,Демонтаж,Сантехника,шт.,293.00
Демонтаж мойки на кронштейнах,0-84,Этап №0,Демонтаж,Сантехника,шт.,315.00
Демонтаж раковины типа «тюльпан» (в сборе),0-85,Этап №0,Демонтаж,Сантехника,шт.,495.00
Демонтаж «Мойдодыра» (в сборе),0-86,Этап №0,Демонтаж,Сантехника,шт.,545.00
Демонтаж сифона мойки,0-87,Этап №0,Демонтаж,Сантехника,шт.,133.00
Демонтаж радиатора на металлических трубах (при наличие вводных кранов),0-88,Этап №0,Демонтаж,Сантехника,шт.,800.00
"Демонтаж регулятора давления, обратного клапана",0-89,Этап №0,Демонтаж,Сантехника,шт.,185.00
Демонтаж коллектора (гребенки),0-90,Этап №0,Демонтаж,Сантехника,шт.,355.00
Демонтаж полотенцесушителя водяного/электрического,0-91,Этап №0,Демонтаж,Сантехника,ед,445.00
Демонтаж радиатора на пластиковых трубах для отделочных работ,0-92,Этап №0,Демонтаж,Сантехника,шт.,250.00
"Демонтаж электроустановочного изделия (розетка, выключатель, распаячная коробка)",0-93,Этап №0,Демонтаж,Электрика,шт.,68.00
"Демонтаж накладной части розетки, выключателя",0-94,Этап №0,Демонтаж,Электрика,шт.,36.00
Демонтаж скрытой проводки (до 16мм),0-95,Этап №0,Демонтаж,Электрика,м.пог,45.00
Демонтаж открытой проводки (до 16мм),0-96,Этап №0,Демонтаж,Электрика,м.пог,16.00
Демонтаж светильников встроенных (без сохранения),0-97,Этап №0,Демонтаж,Электрика,шт.,90.00
Демонтаж кабель-канала,0-98,Этап №0,Демонтаж,Электрика,м.пог,28.00
Демонтаж автомата защиты,0-99,Этап №0,Демонтаж,Электрика,шт.,116.00
"Демонтаж люстры, светильника, вентилятора (с сохранением изделия)",0-100,Этап №0,Демонтаж,Электрика,шт.,318.00
Демонтаж распределительного электрощита,0-101,Этап №0,Демонтаж,Электрика,шт.,1270.00
"Комплексный демонтаж старой электрики - розетки, выключатели, распаячные коробки, проводка (по площади помещения)",0-102,Этап №0,Демонтаж,Электрика,м2,250.00
Кладка кирпичных перегородок в 1 кирпич,1–01,Этап №1,Монтаж,Перегородки,м2,915.00
Кладка кирпичных перегородок в 1/2 кирпича,1–02,Этап №1,Монтаж,Перегородки,м2,765.00
Монтаж перегородки КНАУФ С111,1–03,Этап №1,Монтаж,Перегородки,м2,375.00
Монтаж перегородок из металлического каркаса и листов ГКЛ в два слоя,1–04,Этап №1,Монтаж,Перегородки,м2,965.00
Монтаж перегородок из металлического каркаса и листов ГКЛ в два слоя с нишами,1–05,Этап №1,Монтаж,Перегородки,м2,1025.00
"Монтаж перегородок из металлического каркаса и листов ГКЛ в два слоя, с утеплением и звукоизоляцией",1–06,Этап №1,Монтаж,Перегородки,м2,1165.00
Монтаж перегородок из металлического каркаса и листов ГКЛ в один слой,1–07,Этап №1,Монтаж,Перегородки,м2,615.00
Монтаж перегородок из металлического каркаса и листов ГКЛ в один слой (криволинейная конструкция),1–08,Этап №1,Монтаж,Перегородки,м2,1600.00
Монтаж перегородок из металлического каркаса и листов ГКЛ в один слой с нишами,1–09,Этап №1,Монтаж,Перегородки,м2,690.00
"Монтаж перегородок из металлического каркаса и листов ГКЛ в один слой, с утеплением и звукоизоляцией",1–10,Этап №1,Монтаж,Перегородки,м2,800.00
Монтаж перегородок с одинарным металлическим каркасом и двухслойной обшивкой с обеих сторон (С 112),1–11,Этап №1,Монтаж,Перегородки,м2,1365.00
Монтаж перегородок с одинарным металлическим каркасом и двухслойной обшивкой с обеих сторон (С 112) и деформационным швом,1–12,Этап №1,Монтаж,Перегородки,м2,1375.00
Обшивка каркаса с одной стороны листовыми материалами в два слоя,1–13,Этап №1,Монтаж,Перегородки,м2,200.00
Строительство перегородок из газобетонных или пенобетонных блоков,1–14,Этап №1,Монтаж,Перегородки,м2,600.00
Строительство перегородок из газобетонных или пенобетонных блоков 100-150 мм,1–15,Этап №1,Монтаж,Перегородки,м2,750.00
Строительство перегородок из газобетонных или пенобетонных блоков 200 мм,1–16,Этап №1,Монтаж,Перегородки,м2,850.00
Строительство перегородок из газобетонных или пенобетонных блоков до 100 мм,1–17,Этап №1,Монтаж,Перегородки,м2,515.00
Строительство перегородок из пазогребневых плит (ПГП) или блоков,1–18,Этап №1,Монтаж,Перегородки,м2,665.00
Строительство перегородок из стеклоблоков,1–19,Этап №1,Монтаж,Перегородки,м2,1450.00
Строительство перегородок из шлакоблоков,1–20,Этап №1,Монтаж,Перегородки,м2,970.00
Устройство каркаса перегородок из деревянного бруса или доски,1–21,Этап №1,Монтаж,Перегородки,м2,265.00
Устройство металлического каркаса перегородок,1–22,Этап №1,Монтаж,Перегородки,м2,325.00
Набивка сетки на потолок штукатурной металлической оцинкованной,1–23,Этап №1,Потолок: Штукатурка,Потолки,м2,375.00
Опрыскивание железобетонного потолка водой перед цементной штукатуркой,1–24,Этап №1,Потолок: Штукатурка,Потолки,м2,65.00
Оштукатуривание поверхности потолков гипсовыми составами средней толщиной слоя до 20 мм с последующим демонтажом профилей,1–25,Этап №1,Потолок: Штукатурка,Потолки,м2,250.00
Оштукатуривание потолка,1–26,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Оштукатуривание потолка,1–27,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Оштукатуривание потолка до 3см,1–28,Этап №1,Потолок: Штукатурка,Потолки,м2,625.00
Оштукатуривание потолка по маякам,1–29,Этап №1,Потолок: Штукатурка,Потолки,м2,725.00
Оштукатуривание потолка по маякам гипсовой штукатуркой толщиной слоя до 10 мм,1–30,Этап №1,Потолок: Штукатурка,Потолки,м2,1125.00
Оштукатуривание потолка по маякам гипсовой штукатуркой толщиной слоя до 20 мм,1–31,Этап №1,Потолок: Штукатурка,Потолки,м2,1500.00
Оштукатуривание потолка по маякам цементной штукатуркой толщиной слоя до 10 мм,1–32,Этап №1,Потолок: Штукатурка,Потолки,м2,1375.00
Оштукатуривание потолка по маякам цементной штукатуркой толщиной слоя до 20 мм,1–33,Этап №1,Потолок: Штукатурка,Потолки,м2,1625.00
Оштукатуривание потолков по маякам,1–34,Этап №1,Потолок: Штукатурка,Потолки,м2,725.00
"Оштукатуривание потолков штукатурными составами, толщина слоя до 20 мм",1–35,Этап №1,Потолок: Штукатурка,Потолки,м.п.,300.00
Оштукатуривание рустов потолочных плит перекрытия,1–36,Этап №1,Потолок: Штукатурка,Потолки,м.п.,375.00
Оштукатуриваниерустов на потолке,1–37,Этап №1,Потолок: Штукатурка,Потолки,м.п.,375.00
Подготовка потолка к штукатурным работам (насечка),1–38,Этап №1,Потолок: Штукатурка,Потолки,м2,60.00
Улучшенное оштукатуривание потолков цементно-известковым раствором по камню и бетону внутри зданий,1–39,Этап №1,Потолок: Штукатурка,Потолки,м2,365.00
Улучшенное оштукатуривание стен цементно-известковым раствором по камню и бетону внутри зданий,1–40,Этап №1,Потолок: Штукатурка,Потолки,м2,315.00
"Установка маячка, штукатурка потолка (высококачественная)",1–41,Этап №1,Потолок: Штукатурка,Потолки,м2,725.00
Установка штукатурных маяков на потолок,1–42,Этап №1,Потолок: Штукатурка,Потолки,м2,250.00
Устройство армировочной сетки 5х5 на потолок,1–43,Этап №1,Потолок: Штукатурка,Потолки,м2,105.00
Устройство криволинейного металлического каркаса на потолке,1–44,Этап №1,Потолок: Штукатурка,Потолки,м.п.,625.00
Устройство криволинейных/сферических металлокаркасов на потолке,1–45,Этап №1,Потолок: Штукатурка,Потолки,м2,625.00
Устройство металлического каркаса на потолке из профилей потолочных,1–46,Этап №1,Потолок: Штукатурка,Потолки,м2,475.00
Утепление потолка пенополистиролом на каркасе,1–47,Этап №1,Потолок: Штукатурка,Потолки,м2,400.00
"Шпатлевка, стеклохолст, грунтовка и покраска потолка ГКЛ",1–48,Этап №1,Потолок: Шпаклевка,Потолки,м2,705.00
Штукатурка поверхности потолков внутри здания гипсовым раствором высококачественная,1–49,Этап №1,Потолок: Штукатурка,Потолки,м2,1225.00
Штукатурка поверхности потолков внутри здания гипсовым раствором улучшенная,1–50,Этап №1,Потолок: Штукатурка,Потолки,м2,775.00
Штукатурка потолка,1–51,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Штукатурка потолка,1–52,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Штукатурка потолка,1–53,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Штукатурка потолка,1–54,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Штукатурка потолка (под правило),1–55,Этап №1,Потолок: Штукатурка,Потолки,м2,250.00
Штукатурка потолка до 3 см.,1–56,Этап №1,Потолок: Штукатурка,Потолки,м2,450.00
Штукатурка потолка по маякам (гипсовыми смесями),1–57,Этап №1,Потолок: Штукатурка,Потолки,м2,725.00
Штукатурка потолка по маякам до 1 см,1–58,Этап №1,Потолок: Штукатурка,Потолки,м2,525.00
Штукатурка потолка по маякам до 3 см,1–59,Этап №1,Потолок: Штукатурка,Потолки,м2,525.00
Штукатурка потолка по маякам до 5 см,1–60,Этап №1,Потолок: Штукатурка,Потолки,м2,690.00
Штукатурка потолка под правило,1–61,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Штукатурка потолка слоем до 30мм,1–62,Этап №1,Потолок: Штукатурка,Потолки,м2,525.00
Штукатурка потолка слоем от 30мм до 60 мм,1–63,Этап №1,Потолок: Штукатурка,Потолки,м2,815.00
Штукатурка потолка слоем от 60мм до 90 мм,1–64,Этап №1,Потолок: Штукатурка,Потолки,м2,1165.00
Штукатурка потолков,1–65,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Штукатурка потолков ротбандом,1–66,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Штукатурка потолков ротбандом,1–67,Этап №1,Потолок: Штукатурка,Потолки,м2,495.00
Штукатурка потолочных штроб после прокладки кабеля,1–68,Этап №1,Потолок: Штукатурка,Потолки,м.п.,175.00
Штукатурка рустов на потолке (с проклейкой малярным бинтом СЕРПЯНКОЙ),1–69,Этап №1,Потолок: Штукатурка,Потолки,м.п.,175.00
Алмазная резка отверстий,1–70,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,2500.00
Алмазная резка проема из монолитного бетона,1–71,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,9375.00
Выравнивание откосов штукатурной смесью,1–72,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,445.00
Грунтовка (откосы),1–73,Этап №1,Проемы: Штукатурка,Проемы,м.п.,40.00
Грунтовка короба на 1 раз,1–74,Этап №1,Проемы: Штукатурка,Проемы,м.п.,40.00
Грунтовка неровных откосов,1–75,Этап №1,Проемы: Штукатурка,Проемы,м.п.,65.00
Грунтовка откосов,1–76,Этап №1,Проемы: Штукатурка,Проемы,м.п.,40.00
Грунтовка откосов за 1 раз,1–77,Этап №1,Проемы: Штукатурка,Проемы,м.п.,40.00
Грунтовка откосов после каждого слоя шпатлевки,1–78,Этап №1,Проемы: Штукатурка,Проемы,м.п.,75.00
"Грунтовка откосов, углов",1–79,Этап №1,Проемы: Штукатурка,Проемы,м.п.,40.00
Грунтовка/бетонконтакт откоса,1–80,Этап №1,Проемы: Штукатурка,Проемы,м.п.,40.00
"Изготовление арки в проеме (ГКЛ, оргалит, фанера)",1–81,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт.,2470.00
Монтаж дверного проема из ГКЛ,1–82,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,3125.00
Монтаж ПВХ профиля с армирующей сеткой на профиль окна,1–83,Этап №1,Проемы: Штукатурка,Проемы,м.п.,90.00
Нанесение бетоноконтакта на оконные/дверные откосы,1–84,Этап №1,Проемы: Двери и фурнитура,Проемы,м.п.,40.00
Нанесение декоративной штукатурки на откосы,1–85,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,495.00
Огрунтовка поверхности откосов,1–86,Этап №1,Проемы: Штукатурка,Проемы,м.п.,40.00
"Огрунтовка поверхности откосов и декоративных элементов, подготовка поверхности",1–87,Этап №1,Проемы: Штукатурка,Проемы,м.п.,50.00
Отделка дверных порталов(штукатурка шпаклевка стеклохолст покраска установка уголков),1–88,Этап №1,Проемы: Откосы - штукатурка и шпатлевка,Проемы,м.п.,900.00
Отделка оконных и дверных проемов,1–89,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,185.00
Оштукатуривание + шпаклевка под покраску откосов входной двери,1–90,Этап №1,Проемы: Откосы - штукатурка и шпатлевка,Проемы,м.п.,500.00
Оштукатуривание дверных откосов,1–91,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,435.00
Оштукатуривание оконных откосов,1–92,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,320.00
Оштукатуривание откосов,1–93,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,445.00
Оштукатуривание откосов гипсовой штукатуркой,1–94,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,315.00
Оштукатуривание откосов дверных,1–95,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,435.00
Оштукатуривание откосов по маякам шириной 100-250 мм,1–96,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,500.00
Оштукатуривание откосов по маякам шириной 250-400 мм,1–97,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,715.00
Оштукатуривание откосов проемов шириной до 300 мм,1–98,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,440.00
Оштукатуривание откосов(торцы стен с выставлением штукатурных уголков),1–99,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,440.00
"Оштукатуривание поверхности откосов гипсовыми составами средней толщиной слоя до 30 мм, глубина откосов 250мм",1–100,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,315.00
"Оштукатуривание поверхности откосов штукатурными составами, толщина слоя 20-40 мм",1–101,Этап №1,Проемы: Откосы - штукатурка,Проемы,м.п.,315.00
Перемещение дверного проема,1–102,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,3275.00
Перенос дверного проема,1–103,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,3275.00
Подготовка дверного проёма расширение (дерево),1–104,Этап №1,Проемы: Двери и фурнитура,Проемы,м.п.,750.00
"Подготовка дверного проема, расширение",1–105,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,500.00
"Подготовка дверного проёма, сужение",1–106,Этап №1,Проемы: Двери и фурнитура,Проемы,м.п.,500.00
"Подготовка оконного проема, расширение",1–107,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,375.00
Расширение дверного проема в бетонной стене,1–108,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,1600.00
Расширение дверного проема до 10 см (с одной стороны) в стене из газобетонных или пенобетонных блоков,1–109,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,390.00
"Расширение дверного проема до 10 см (с одной стороны), в бетонной стене",1–110,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,1315.00
"Расширение дверного проема до 10 см (с одной стороны), в кирпичной стене",1–111,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,640.00
Расширение проема,1–112,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,1065.00
Расширение проема в бетонной стене для установки двери,1–113,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,750.00
Расширение проема для установки двери,1–114,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,1000.00
Расширение проёма по бетону,1–115,Этап №1,Проемы: Прочее,Проемы,м.п.,1600.00
Резка проема в стене из армированного железобетона толщиной 16 см,1–116,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,9000.00
Резка проема в стене из армированного железобетона толщиной 20см,1–117,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,14375.00
Сплошное выравнивание поверхностей оконных и дверных откосов плоских полимерным составом,1–118,Этап №1,Проемы: Двери и фурнитура,Проемы,м2,835.00
Уменьшение высоты дверного проема,1–119,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,375.00
Уменьшение ширины проемов до 800мм,1–120,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,375.00
Усиление проема в несущей стене швеллером (уголком),1–121,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,2720.00
"Усиление проема сварным металлическим каркасом, 1 сторона",1–122,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,1500.00
Усиление проемов металлическим профилем,1–123,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,1775.00
Установка арки в проем,1–124,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт.,2075.00
установка пластиковых откосов на одно окно,1–125,Этап №1,Проемы: Прочее,Проемы,шт,960.00
Установка портала с фрамугой,1–126,Этап №1,Проемы: Прочее,Проемы,шт,5760.00
"Устройства проема в стене (гипсе,гипсолите)",1–127,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,640.00
Устройство арочных проемов в стенах от 40 до 180 мм,1–128,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,1750.00
Устройство дверного проема в бетонной стене,1–129,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,2625.00
Устройство металлической штукатурной сетки на откосы,1–130,Этап №1,Проемы: Откосы - штукатурка,Проемы,м2,140.00
Устройство оконных откосов шириной (до 30 см) штукатурка или гкл (шпаклевка и покраска),1–131,Этап №1,Проемы: Откосы - штукатурка и шпатлевка,Проемы,м2,925.00
"Устройство откоса из кирпича, пенобетона, газосиликатного блока",1–132,Этап №1,Проемы: Прочее,Проемы,м.п.,885.00
"Устройство откоса из пенобетона, кирпича, пазогребневого блока",1–133,Этап №1,Проемы: Прочее,Проемы,м.п.,885.00
"Устройство откосов из ПВХ панелей, сэндвич-панелей",1–134,Этап №1,Проемы: Откосы - облицовка,Проемы,м/п,265.00
Устройство перемычек над дверными проемами,1–135,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,375.00
Устройство перемычек над дверными проемами,1–136,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,315.00
Устройство перемычки над дверным проемом возводимых стен,1–137,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,625.00
Устройство проема,1–138,Этап №1,Проемы: Резка и устройство проемов,Проемы,изд,1250.00
Устройство проема в 1/5 кирпичной кладке,1–139,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,2125.00
Устройство проема в бетонной стене,1–140,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,2625.00
Устройство проема в бетонной стене толщиной 14 см,1–141,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,1440.00
Устройство проема в бетонной стене толщиной 18 см,1–142,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,1750.00
"Устройство проема в блочной, пгп стене до 100 мм.",1–143,Этап №1,Проемы: Резка и устройство проемов,Проемы,м.п.,750.00
Устройство проема в гипсобетонных стенах,1–144,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,640.00
Устройство проема в кирпичной стене,1–145,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,1875.00
Устройство проема в пенобетонных стенах,1–146,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,1000.00
Устройство проема в стене из армированного бетона толщиной 14 см,1–147,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,1440.00
Устройство проема в стене из армированного бетона толщиной 18 см,1–148,Этап №1,Проемы: Резка и устройство проемов,Проемы,м2,1750.00
Устройство проемов при кладке стен,1–149,Этап №1,Проемы: Резка и устройство проемов,Проемы,шт,440.00
