Код;Наименование;Ед изм;Базовая цена;Фаза;Раздел;Подраздел
0-14;Очистка потолка от шпаклевки/водоимульсионной краски;м2;200.00;Этап №0;Демонтаж;Потолок
0-15;Демонтаж штукатурки с потолка;м2;180.00;Этап №0;Демонтаж;Потолок
0-16;Демонтаж с потолка плитки из полиуретана, полистирола;м2;120.00;Этап №0;Демонтаж;Потолок
0-17;Демонтаж старых обоев;м2;120.00;Этап №0;Демонтаж;Потолок
0-18;Демонтаж потолка из ГКЛ, панелей ПВХ, вагонки,;м2;191.00;Этап №0;Демонтаж;Потолок
0-19;Демонтаж реечного потолка;м2;112.00;Этап №0;Демонтаж;Потолок
0-20;Демонтаж подвесных потолков "Армстронг", зеркального, натяжного потолка;м2;90.00;Этап №0;Демонтаж;Потолок
0-21;Демонтаж карниза;шт.;264.00;Этап №0;Демонтаж;Потолок
0-22;Демонтаж потолочного плинтуса (без сохранения);м.пог;54.00;Этап №0;Демонтаж;Потолок
0-23;Демонтаж вентиляционных коробов;м.пог;256.00;Этап №0;Демонтаж;Потолок
0-24;Демонтаж потолков из АЦЭИДа, гипсолита;м2;270.00;Этап №0;Демонтаж;Потолок
0-57;Демонтаж пластиковой душевой кабины;шт.;1125.00;Этап №0;Демонтаж;Сантехника
0-58;Демонтаж душевой кабины в строительном исполнении;шт.;1603.00;Этап №0;Демонтаж;Сантехника
0-59;Демонтаж душевого подиума (строительного исполнения);шт.;2060.00;Этап №0;Демонтаж;Сантехника
0-60;Демонтаж пластиковой душевой кабины с джакузи, гидромассажем/парогенератором;шт.;1852.00;Этап №0;Демонтаж;Сантехника
0-61;Демонтаж поддона чугунного/металлического/акрилового;шт.;635.00;Этап №0;Демонтаж;Сантехника
0-62;Демонтаж (отключение) стиральной/сушильной машины;шт.;300.00;Этап №0;Демонтаж;Сантехника
0-63;Расчистка стояка отопления от старой краски;шт.;376.00;Этап №0;Демонтаж;Сантехника
0-64;Демонтаж подиума для поддона (кирпич, бетон);шт.;1125.00;Этап №0;Демонтаж;Сантехника
0-65;Демонтаж ванны чугунной (с выносом к входной двери);шт.;1571.00;Этап №0;Демонтаж;Сантехника
0-66;Демонтаж ванны стальной, акриловой;шт.;1132.00;Этап №0;Демонтаж;Сантехника
0-67;Демонтаж экрана ванны (кафель, кирпич/пеноблок);шт.;675.00;Этап №0;Демонтаж;Сантехника
0-68;Демонтаж экрана под ванной (пластик);шт.;203.00;Этап №0;Демонтаж;Сантехника
0-69;Демонтаж обвязки ванны (старого образца чугун-метал);шт.;424.00;Этап №0;Демонтаж;Сантехника
0-70;Демонтаж обвязки ванны (нового образца);шт.;238.00;Этап №0;Демонтаж;Сантехника
0-71;Демонтаж штанги для душа;шт.;159.00;Этап №0;Демонтаж;Сантехника
0-72;Демонтаж сантехнических аксессуаров (мыльница, держатель бумаги и т.д.);шт.;68.00;Этап №0;Демонтаж;Сантехника
0-73;Демонтаж унитаза;шт.;500.00;Этап №0;Демонтаж;Сантехника
0-74;Демонтаж инсталляции (чаши с рамой и кнопкой);шт.;1300.00;Этап №0;Демонтаж;Сантехника
0-75;Демонтаж труб водоснабжения, отопления;м.пог;89.00;Этап №0;Демонтаж;Сантехника
0-76;Демонтаж труб канализации (чугун);м.пог;318.00;Этап №0;Демонтаж;Сантехника
0-77;Демонтаж труб канализации (пластик);м.пог;122.00;Этап №0;Демонтаж;Сантехника
0-78;Демонтаж коллектора (гребенки);шт.;355.00;Этап №0;Демонтаж;Сантехника
0-79;Демонтаж бойлера;шт.;590.00;Этап №0;Демонтаж;Сантехника
0-80;Демонтаж смесителя на жёсткой подводке;шт.;291.00;Этап №0;Демонтаж;Сантехника
0-81;Демонтаж смесителя  на гибкой подводке;шт.;220.00;Этап №0;Демонтаж;Сантехника
0-82;Демонтаж кухонной мойки (без смесителя);шт.;305.00;Этап №0;Демонтаж;Сантехника
0-83;Демонтаж подстолья кухонной мойки;шт.;293.00;Этап №0;Демонтаж;Сантехника
0-84;Демонтаж мойки на кронштейнах;шт.;315.00;Этап №0;Демонтаж;Сантехника
0-85;Демонтаж раковины типа «тюльпан» (в сборе);шт.;495.00;Этап №0;Демонтаж;Сантехника
0-86;Демонтаж «Мойдодыра» (в сборе);шт.;545.00;Этап №0;Демонтаж;Сантехника
0-87;Демонтаж сифона мойки;шт.;133.00;Этап №0;Демонтаж;Сантехника
0-88;Демонтаж радиатора на металлических трубах (при наличие вводных кранов);шт.;800.00;Этап №0;Демонтаж;Сантехника
0-89;Демонтаж регулятора давления, обратного клапана;шт.;185.00;Этап №0;Демонтаж;Сантехника
0-90;Демонтаж коллектора (гребенки);шт.;355.00;Этап №0;Демонтаж;Сантехника
0-91;Демонтаж полотенцесушителя водяного/электрического;ед;445.00;Этап №0;Демонтаж;Сантехника
0-92;Демонтаж радиатора на пластиковых трубах для отделочных работ;шт.;250.00;Этап №0;Демонтаж;Сантехника
0-25;Демонтаж стен из ПГП;м2;250.00;Этап №0;Демонтаж;Стены
0-26;Демонтаж  кирпичных стен в 1/2  кирпича;м2;340.00;Этап №0;Демонтаж;Стены
0-27;Демонтаж стен из кирпича (в 1 кирпич);м2;390.00;Этап №0;Демонтаж;Стены
0-28;Демонтаж  бетонных НЕ несущих стен (толщиной до 80мм);м2;1200.00;Этап №0;Демонтаж;Стены
0-29;Демонтаж  оконных, дверных откосов из штукатурки;м.пог;220.00;Этап №0;Демонтаж;Стены
0-30;Демонтаж штукатурки толщиной до 3см.;м2;150.00;Этап №0;Демонтаж;Стены
0-31;Демонтаж старой керамической плитки и плиточного клея;м2;270.00;Этап №0;Демонтаж;Стены
0-32;Демонтаж старых обоев (за слой);м2;60.00;Этап №0;Демонтаж;Стены
0-33;Расчистка масляной, водоэмульсионной краски со стен;м2;215.00;Этап №0;Демонтаж;Стены
0-34;Демонтаж подоконника;м.пог;99.00;Этап №0;Демонтаж;Стены
0-35;Демонтаж наличника;м.пог;27.00;Этап №0;Демонтаж;Стены
0-36;Демонтаж дверного блока без сохранения;шт.;400.00;Этап №0;Демонтаж;Стены
0-37;Демонтаж оконного блока без сохранения;шт.;600.00;Этап №0;Демонтаж;Стены
0-38;Демонтаж фальшстены из ГКЛ, панелей ПВХ с каркасом, вагонки;м2;153.00;Этап №0;Демонтаж;Стены
0-39;Очистка шпаклевки со стен;м2;120.00;Этап №0;Демонтаж;Стены
0-40;Демонтаж арки;м2;202.00;Этап №0;Демонтаж;Стены
0-41;Демонтаж шкафов и антресолей (без сохранения) .;м3;423.00;Этап №0;Демонтаж;Стены
0-42;Демонтаж стен сан-тех кабины (коробка сан узла)из азбестоцементных плит с арматурой;шт.;5310.00;Этап №0;Демонтаж;Стены
0-100;Демонтаж люстры, светильника, вентилятора (с сохранением изделия);шт.;318.00;Этап №0;Демонтаж;Электрика
0-101;Демонтаж распределительного электрощита;шт.;1270.00;Этап №0;Демонтаж;Электрика
0-102;Комплексный демонтаж старой электрики - розетки, выключатели, распаячные коробки, проводка (по площади помещения);м2;250.00;Этап №0;Демонтаж;Электрика
0-93;Демонтаж электроустановочного изделия (розетка, выключатель, распаячная коробка);шт.;68.00;Этап №0;Демонтаж;Электрика
0-94;Демонтаж накладной части розетки, выключателя;шт.;36.00;Этап №0;Демонтаж;Электрика
0-95;Демонтаж скрытой проводки (до 16мм);м.пог;45.00;Этап №0;Демонтаж;Электрика
0-96;Демонтаж открытой проводки (до 16мм);м.пог;16.00;Этап №0;Демонтаж;Электрика
0-97;Демонтаж светильников встроенных (без сохранения);шт.;90.00;Этап №0;Демонтаж;Электрика
0-98;Демонтаж кабель-канала;м.пог;28.00;Этап №0;Демонтаж;Электрика
0-99;Демонтаж автомата защиты;шт.;116.00;Этап №0;Демонтаж;Электрика
1–01;Кладка кирпичных перегородок в 1 кирпич;м2;915.00;Этап №1;Монтаж;Перегородки
1–02;Кладка кирпичных перегородок в 1/2 кирпича;м2;765.00;Этап №1;Монтаж;Перегородки
1–03;Монтаж перегородки КНАУФ С111;м2;375.00;Этап №1;Монтаж;Перегородки
1–04;Монтаж перегородок из металлического каркаса и листов ГКЛ в два слоя;м2;965.00;Этап №1;Монтаж;Перегородки
1–05;Монтаж перегородок из металлического каркаса и листов ГКЛ в два слоя с нишами;м2;1025.00;Этап №1;Монтаж;Перегородки
1–06;Монтаж перегородок из металлического каркаса и листов ГКЛ в два слоя, с утеплением и звукоизоляцией;м2;1165.00;Этап №1;Монтаж;Перегородки
1–07;Монтаж перегородок из металлического каркаса и листов ГКЛ в один слой;м2;615.00;Этап №1;Монтаж;Перегородки
1–08;Монтаж перегородок из металлического каркаса и листов ГКЛ в один слой (криволинейная конструкция);м2;1600.00;Этап №1;Монтаж;Перегородки
1–09;Монтаж перегородок из металлического каркаса и листов ГКЛ в один слой с нишами;м2;690.00;Этап №1;Монтаж;Перегородки
1–10;Монтаж перегородок из металлического каркаса и листов ГКЛ в один слой, с утеплением и звукоизоляцией;м2;800.00;Этап №1;Монтаж;Перегородки
1–11;Монтаж перегородок с одинарным металлическим каркасом и двухслойной обшивкой с обеих сторон (С 112);м2;1365.00;Этап №1;Монтаж;Перегородки
1–12;Монтаж перегородок с одинарным металлическим каркасом и двухслойной обшивкой с обеих сторон (С 112) и деформационным швом;м2;1375.00;Этап №1;Монтаж;Перегородки
1–13;Обшивка каркаса с одной стороны листовыми материалами в два слоя;м2;200.00;Этап №1;Монтаж;Перегородки
1–14;Строительство перегородок из газобетонных или пенобетонных блоков;м2;600.00;Этап №1;Монтаж;Перегородки
1–15;Строительство перегородок из газобетонных или пенобетонных блоков 100-150 мм;м2;750.00;Этап №1;Монтаж;Перегородки
1–16;Строительство перегородок из газобетонных или пенобетонных блоков 200 мм;м2;850.00;Этап №1;Монтаж;Перегородки
1–17;Строительство перегородок из газобетонных или пенобетонных блоков до 100 мм;м2;515.00;Этап №1;Монтаж;Перегородки
1–18;Строительство перегородок из пазогребневых плит (ПГП) или блоков;м2;665.00;Этап №1;Монтаж;Перегородки
1–19;Строительство перегородок из стеклоблоков;м2;1450.00;Этап №1;Монтаж;Перегородки
1–20;Строительство перегородок из шлакоблоков;м2;970.00;Этап №1;Монтаж;Перегородки
1–21;Устройство каркаса перегородок из деревянного бруса или доски;м2;265.00;Этап №1;Монтаж;Перегородки
1–22;Устройство металлического каркаса перегородок;м2;325.00;Этап №1;Монтаж;Перегородки
1–48;Шпатлевка, стеклохолст, грунтовка и покраска потолка ГКЛ;м2;705.00;Этап №1;Потолок: Шпаклевка;Потолки
1–23;Набивка сетки на потолок штукатурной металлической оцинкованной;м2;375.00;Этап №1;Потолок: Штукатурка;Потолки
1–24;Опрыскивание железобетонного потолка водой перед цементной штукатуркой;м2;65.00;Этап №1;Потолок: Штукатурка;Потолки
1–25;Оштукатуривание поверхности потолков гипсовыми составами средней толщиной слоя до 20 мм с последующим демонтажом профилей;м2;250.00;Этап №1;Потолок: Штукатурка;Потолки
1–26;Оштукатуривание потолка;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–27;Оштукатуривание потолка;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–28;Оштукатуривание потолка до 3см;м2;625.00;Этап №1;Потолок: Штукатурка;Потолки
1–29;Оштукатуривание потолка по маякам;м2;725.00;Этап №1;Потолок: Штукатурка;Потолки
1–30;Оштукатуривание потолка по маякам гипсовой штукатуркой толщиной слоя до 10 мм;м2;1125.00;Этап №1;Потолок: Штукатурка;Потолки
1–31;Оштукатуривание потолка по маякам гипсовой штукатуркой толщиной слоя до 20 мм;м2;1500.00;Этап №1;Потолок: Штукатурка;Потолки
1–32;Оштукатуривание потолка по маякам цементной штукатуркой толщиной слоя до 10 мм;м2;1375.00;Этап №1;Потолок: Штукатурка;Потолки
1–33;Оштукатуривание потолка по маякам цементной штукатуркой толщиной слоя до 20 мм;м2;1625.00;Этап №1;Потолок: Штукатурка;Потолки
1–34;Оштукатуривание потолков по маякам;м2;725.00;Этап №1;Потолок: Штукатурка;Потолки
1–35;Оштукатуривание потолков штукатурными составами, толщина слоя до 20 мм;м.п.;300.00;Этап №1;Потолок: Штукатурка;Потолки
1–36;Оштукатуривание рустов потолочных плит перекрытия;м.п.;375.00;Этап №1;Потолок: Штукатурка;Потолки
1–37;Оштукатуриваниерустов на потолке;м.п.;375.00;Этап №1;Потолок: Штукатурка;Потолки
1–38;Подготовка потолка к штукатурным работам (насечка);м2;60.00;Этап №1;Потолок: Штукатурка;Потолки
1–39;Улучшенное оштукатуривание потолков цементно-известковым раствором по камню и бетону внутри зданий;м2;365.00;Этап №1;Потолок: Штукатурка;Потолки
1–40;Улучшенное оштукатуривание стен цементно-известковым раствором по камню и бетону внутри зданий;м2;315.00;Этап №1;Потолок: Штукатурка;Потолки
1–41;Установка маячка, штукатурка потолка (высококачественная);м2;725.00;Этап №1;Потолок: Штукатурка;Потолки
1–42;Установка штукатурных маяков на потолок;м2;250.00;Этап №1;Потолок: Штукатурка;Потолки
1–43;Устройство армировочной сетки 5х5 на потолок;м2;105.00;Этап №1;Потолок: Штукатурка;Потолки
1–44;Устройство криволинейного металлического каркаса на потолке;м.п.;625.00;Этап №1;Потолок: Штукатурка;Потолки
1–45;Устройство криволинейных/сферических металлокаркасов на потолке;м2;625.00;Этап №1;Потолок: Штукатурка;Потолки
1–46;Устройство металлического каркаса на потолке из профилей потолочных;м2;475.00;Этап №1;Потолок: Штукатурка;Потолки
1–47;Утепление потолка пенополистиролом на каркасе;м2;400.00;Этап №1;Потолок: Штукатурка;Потолки
1–49;Штукатурка поверхности потолков внутри здания гипсовым раствором высококачественная;м2;1225.00;Этап №1;Потолок: Штукатурка;Потолки
1–50;Штукатурка поверхности потолков внутри здания гипсовым раствором улучшенная;м2;775.00;Этап №1;Потолок: Штукатурка;Потолки
1–51;Штукатурка потолка;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–52;Штукатурка потолка;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–53;Штукатурка потолка;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–54;Штукатурка потолка;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–55;Штукатурка потолка (под правило);м2;250.00;Этап №1;Потолок: Штукатурка;Потолки
1–56;Штукатурка потолка до 3 см.;м2;450.00;Этап №1;Потолок: Штукатурка;Потолки
1–57;Штукатурка потолка по маякам (гипсовыми смесями);м2;725.00;Этап №1;Потолок: Штукатурка;Потолки
1–58;Штукатурка потолка по маякам до 1 см;м2;525.00;Этап №1;Потолок: Штукатурка;Потолки
1–59;Штукатурка потолка по маякам до 3 см;м2;525.00;Этап №1;Потолок: Штукатурка;Потолки
1–60;Штукатурка потолка по маякам до 5 см;м2;690.00;Этап №1;Потолок: Штукатурка;Потолки
1–61;Штукатурка потолка под правило;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–62;Штукатурка потолка слоем до 30мм;м2;525.00;Этап №1;Потолок: Штукатурка;Потолки
1–63;Штукатурка потолка слоем от 30мм до 60 мм;м2;815.00;Этап №1;Потолок: Штукатурка;Потолки
1–64;Штукатурка потолка слоем от 60мм до 90 мм;м2;1165.00;Этап №1;Потолок: Штукатурка;Потолки
1–65;Штукатурка потолков;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–66;Штукатурка потолков ротбандом;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–67;Штукатурка потолков ротбандом;м2;495.00;Этап №1;Потолок: Штукатурка;Потолки
1–68;Штукатурка потолочных штроб после прокладки кабеля;м.п.;175.00;Этап №1;Потолок: Штукатурка;Потолки
1–69;Штукатурка рустов на потолке (с проклейкой малярным бинтом СЕРПЯНКОЙ);м.п.;175.00;Этап №1;Потолок: Штукатурка;Потолки
1–104;Подготовка дверного проёма расширение (дерево);м.п.;750.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–106;Подготовка дверного проёма, сужение;м.п.;500.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–118;Сплошное выравнивание поверхностей оконных и дверных откосов плоских полимерным составом;м2;835.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–160;Штукатурка верхнего откоса двери;м.п.;445.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–162;Штукатурка откоса входной двери;м.п.;435.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–167;Штукатурка откосов входной двери;м.п.;435.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–168;Штукатурка откосов дверных до 30 см;м.п.;290.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–169;Штукатурка откосов дверных от 30 до 60 см;м.п.;600.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–170;Штукатурка откосов дверных шириной до 40 см;м.п.;910.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–171;Штукатурка откосов дверных шириной до 40 см;м.п.;600.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–172;Штукатурка откосов дверных шириной от 40 до 60 см;м.п.;600.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–177;Штукатурка плоских поверхностей оконных и дверных откосов по бетону и камню;м2;775.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–178;Штукатурка плоских поверхностей оконных и дверных откосов по бетону и камню;м.п.;445.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–84;Нанесение бетоноконтакта на оконные/дверные откосы;м.п.;40.00;Этап №1;Проемы: Двери и фурнитура;Проемы
1–134;Устройство откосов из ПВХ панелей, сэндвич-панелей;м/п;265.00;Этап №1;Проемы: Откосы - облицовка;Проемы
1–100;Оштукатуривание поверхности откосов гипсовыми составами средней толщиной слоя до 30 мм, глубина откосов 250мм;м.п.;315.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–101;Оштукатуривание поверхности откосов штукатурными составами, толщина слоя 20-40 мм;м.п.;315.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–130;Устройство металлической штукатурной сетки на откосы;м2;140.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–159;Штукатурка арочных откосов;м.п.;715.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–163;Штукатурка откосов;м.п.;445.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–164;Штукатурка откосов арочных;м.п.;715.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–165;Штукатурка откосов в 2 слоя с угловой сеткой и сеткой примыкания;м.п.;440.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–166;Штукатурка откосов внутри помещения шириной до 40 см;м.п.;715.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–173;Штукатурка откосов до 30 мм;м.п.;290.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–179;Штукатурка углов;м.п.;170.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–180;Штукатурная отделка проёмов (откосов) до 400мм;м.п.;445.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–72;Выравнивание откосов штукатурной смесью;м.п.;445.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–85;Нанесение декоративной штукатурки на откосы;м.п.;495.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–91;Оштукатуривание дверных откосов;м.п.;435.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–92;Оштукатуривание оконных откосов;м.п.;320.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–93;Оштукатуривание откосов;м.п.;445.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–94;Оштукатуривание откосов гипсовой штукатуркой;м.п.;315.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–95;Оштукатуривание откосов дверных;м.п.;435.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–96;Оштукатуривание откосов по маякам шириной 100-250 мм;м.п.;500.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–97;Оштукатуривание откосов по маякам шириной 250-400 мм;м.п.;715.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–98;Оштукатуривание откосов проемов шириной до 300 мм;м.п.;440.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–99;Оштукатуривание откосов(торцы стен с выставлением штукатурных уголков);м.п.;440.00;Этап №1;Проемы: Откосы - штукатурка;Проемы
1–302;Оштукатуривание откосов в один слой толщиной до 15 мм. гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по камню с отделкой под высококачественную окраску толщиной 15 мм;м2;612.00;Этап №1;Проемы: Откосы - штукатурка;Устройство перегородок
1–303;Оштукатуривание откосов в один слой толщиной до 15 мм. гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по камню с отделкой под облицовку толщиной 10 мм;м2;246.00;Этап №1;Проемы: Откосы - штукатурка;Устройство перегородок
1–304;Оштукатуривание откосов в один слой толщиной до 15 мм. гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по камню с отделкой под окраску и обои толщиной 15 мм;м2;437.00;Этап №1;Проемы: Откосы - штукатурка;Устройство перегородок
1–305;Оштукатуривание откосов цементным составом КНАУФ-Грюнбанд в один слой (15 мм) по бетону;м2;800.00;Этап №1;Проемы: Откосы - штукатурка;Устройство перегородок
1–306;Оштукатуривание откосов цементным составом КНАУФ-Грюнбанд в один слой (15 мм) по кирпичу;м2;776.00;Этап №1;Проемы: Откосы - штукатурка;Устройство перегородок
1–131;Устройство оконных откосов шириной (до 30 см) штукатурка или гкл (шпаклевка и покраска);м2;925.00;Этап №1;Проемы: Откосы - штукатурка и шпатлевка;Проемы
1–88;Отделка дверных порталов(штукатурка шпаклевка стеклохолст покраска установка уголков);м.п.;900.00;Этап №1;Проемы: Откосы - штукатурка и шпатлевка;Проемы
1–90;Оштукатуривание + шпаклевка под покраску откосов входной двери;м.п.;500.00;Этап №1;Проемы: Откосы - штукатурка и шпатлевка;Проемы
1–115;Расширение проёма по бетону;м.п.;1600.00;Этап №1;Проемы: Прочее;Проемы
1–125;установка пластиковых откосов на одно окно;шт;960.00;Этап №1;Проемы: Прочее;Проемы
1–126;Установка портала с фрамугой;шт;5760.00;Этап №1;Проемы: Прочее;Проемы
1–132;Устройство откоса из кирпича, пенобетона, газосиликатного блока;м.п.;885.00;Этап №1;Проемы: Прочее;Проемы
1–133;Устройство откоса из пенобетона, кирпича, пазогребневого блока;м.п.;885.00;Этап №1;Проемы: Прочее;Проемы
1–102;Перемещение дверного проема;шт;3275.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–103;Перенос дверного проема;шт;3275.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–105;Подготовка дверного проема, расширение;м.п.;500.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–107;Подготовка оконного проема, расширение;м.п.;375.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–108;Расширение дверного проема в бетонной стене;м.п.;1600.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–109;Расширение дверного проема до 10 см (с одной стороны) в стене из газобетонных или пенобетонных блоков;шт;390.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–110;Расширение дверного проема до 10 см (с одной стороны), в бетонной стене;шт;1315.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–111;Расширение дверного проема до 10 см (с одной стороны), в кирпичной стене;шт;640.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–112;Расширение проема;шт;1065.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–113;Расширение проема в бетонной стене для установки двери;м.п.;750.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–114;Расширение проема для установки двери;шт;1000.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–116;Резка проема в стене из армированного железобетона толщиной 16 см;м2;9000.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–117;Резка проема в стене из армированного железобетона толщиной 20см;м2;14375.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–119;Уменьшение высоты дверного проема;шт;375.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–120;Уменьшение ширины проемов до 800мм;шт;375.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–121;Усиление проема в несущей стене швеллером (уголком);м.п.;2720.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–122;Усиление проема сварным металлическим каркасом, 1 сторона;шт;1500.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–123;Усиление проемов металлическим профилем;м.п.;1775.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–124;Установка арки в проем;шт.;2075.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–127;Устройства проема в стене (гипсе,гипсолите);м2;640.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–128;Устройство арочных проемов в стенах от 40 до 180 мм;м2;1750.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–129;Устройство дверного проема в бетонной стене;м2;2625.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–135;Устройство перемычек над дверными проемами;шт;375.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
1–136;Устройство перемычек над дверными проемами;м.п.;315.00;Этап №1;Проемы: Резка и устройство проемов;Проемы
